task_type,count,mean_steps,median_steps,tokens,trainable_tokens
AC,100,18.57,17.0,5396583,691819
PF,144,5.388888888888889,5.0,7470659,863707
VS,97,29.329896907216494,28.0,9933388,4131115
KG,237,24.122362869198312,22.0,21957080,8225920
E2E,18,26.333333333333332,24.5,1238759,292845
