steps,trajectories
3,58
4,15
5,29
6,15
7,16
8,17
9,14
10,13
11,9
12,16
13,22
14,13
15,21
16,14
17,16
18,19
19,15
20,17
21,16
22,12
23,13
24,20
25,11
26,13
27,18
28,8
29,15
30,13
31,8
32,12
33,16
34,9
35,11
36,7
37,5
38,5
39,8
40,5
41,1
42,2
43,1
44,6
45,5
46,0
47,0
48,2
49,0
50,1
51,0
52,0
53,2
54,2
55,2
56,0
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,1
